"#","g#","Cover","Album","Streams","Daily"
"","145","","Free Spirit Khalid","4,570,997,800","1,039,635"
"","146","","Channel Orange Frank Ocean","4,564,107,971","3,996,707"
"","147","","This One's For You Luke Combs","4,559,069,598","3,487,159"
"","148","","A Head Full Of Dreams Coldplay","4,531,583,920","1,710,133"
"","149","","True Avicii","4,493,485,827","1,994,678"
"","150","","Unapologetic Rihanna","4,491,309,298","2,317,916"
"","151","","Harry Styles Harry Styles","4,473,110,065","1,239,838"
"","152","","Utopia Travis Scott","4,455,666,035","7,268,297"
"","153","","Californication Red Hot Chili Peppers","4,435,302,610","2,575,552"
"","154","","Peace Is The Mission Major Lazer","4,384,241,350","1,668,302"
"","155","","Welcome To The Madhouse Tones And I","4,344,468,570","1,075,073"
"","156","","Cloud Nine Kygo","4,331,763,622","1,171,013"
"","157","","Drive Tiësto","4,316,507,275","2,441,039"
"","158","","Currents Tame Impala","4,308,868,937","2,642,315"
"","159","","Fifty Shades Of Grey Various Artists","4,308,808,255","1,282,599"
"","160","","Hot Pink Doja Cat","4,285,583,292","1,432,378"
"","161","","Christmas Michael Bublé","4,282,942,757","117,470"
"","162","","Nadie Sabe Lo Que Va A Pasar Mañana Bad Bunny","4,276,675,902","5,018,085"
"","163","","Pure Heroine Lorde","4,267,167,665","1,505,815"
"","164","","Dream Your Life Away Vance Joy","4,256,613,141","1,783,389"
"","165","","Metallica (Black Album) Metallica","4,232,158,381","2,413,232"
"","166","","Prism Katy Perry","4,206,019,534","1,813,573"
"","167","","Dreamland Glass Animals","4,202,941,618","1,713,895"
"","168","","My Beautiful Dark Twisted Fantasy Kanye West","4,200,962,906","2,108,198"
"","169","","1989 (Taylor's Version) Taylor Swift","4,200,440,724","5,572,813"
"","170","","Fearless (Taylor's Version) Taylor Swift","4,195,703,344","3,419,386"
"","171","","(What's The Story) Morning Glory? Oasis","4,176,211,369","2,008,911"
"","172","","Nothing Was The Same Drake","4,171,846,275","1,196,169"
"","173","","Odisea Ozuna","4,165,579,150","1,616,246"
"","174","","Back To Black Amy Winehouse","4,161,015,085","2,263,003"
"","175","","My Dear Melancholy, The Weeknd","4,156,371,926","2,114,886"
"","176","","Trapsoul Bryson Tiller","4,145,407,153","2,692,123"
"","177","","Golden Jung Kook","4,123,523,311","6,961,511"
"","178","","Stay + Zedd","4,110,894,848","920,018"
"","179","","Camila Camila Cabello","4,097,740,846","1,159,866"
"","180","","Loud Rihanna","4,078,497,090","2,812,155"
"","181","","Las Mujeres Ya No Lloran Shakira","4,070,582,991","2,585,647"
"","182","","Friends Keep Secrets Benny Blanco","4,045,587,700","973,054"
"","183","","Delirium Ellie Goulding","4,019,493,992","1,711,111"
"","184","","Moana Lin-Manuel Miranda & Various Artists","3,989,837,379","1,543,566"
"","185","","Oasis J Balvin & Bad Bunny","3,988,239,289","2,019,857"
"","186","","Emmanuel Anuel AA","3,967,981,545","1,149,233"
"","187","","Favourite Worst Nightmare Arctic Monkeys","3,967,320,261","2,581,601"
"","188","","Hot Fuss The Killers","3,966,987,096","2,637,280"
"","189","","Plus (+) Ed Sheeran","3,961,248,996","750,190"
"","190","","Back In Black AC/DC","3,961,163,131","3,080,543"
"","191","","Music To Be Murdered By Eminem","3,950,764,745","1,243,558"
"","192","","A Rush Of Blood To The Head Coldplay","3,936,866,652","2,573,323"
"","193","","The Marshall Mathers LP 2 Eminem","3,934,286,491","1,039,775"
"","194","","Know-It-All Alessia Cara","3,890,402,167","924,079"
"","195","","I Met You When I Was 18. (The Playlist) Lauv","3,887,043,124","801,109"
"","196","","I Am...Sasha Fierce Beyoncé","3,882,581,175","1,356,396"
"","197","","Igor Tyler, The Creator","3,863,283,293","2,504,492"
"","198","","Toxicity System Of A Down","3,851,523,922","3,175,575"
"","199","","Guts Olivia Rodrigo","3,820,336,063","5,956,092"
"","200","","Flower Boy Tyler, The Creator","3,819,527,028","2,857,315"
"","201","","7 Lil Nas X","3,796,647,199","590,890"
"","202","","Native OneRepublic","3,775,007,943","1,989,137"
"","203","","Origins Imagine Dragons","3,768,835,364","1,356,368"
"","204","","El Comienzo Grupo Frontera","3,757,872,509","4,690,373"
"","205","","Cigarettes After Sex Cigarettes After Sex","3,756,928,609","4,186,270"
"","206","","We Love You Tecca Lil Tecca","3,754,687,004","1,949,356"
"","207","","Title Meghan Trainor","3,743,105,054","1,383,139"
"","208","","Be BTS","3,742,431,138","1,156,744"
"","209","","Meet The Woo 2 Pop Smoke","3,738,020,746","1,383,581"
"","210","","Fórmula, Vol. 2 Romeo Santos","3,737,058,390","2,620,868"
"","211","","My Worlds Justin Bieber","3,729,530,264","2,522,059"
"","212","","Songs About Jane Maroon 5","3,727,380,034","2,375,631"
"","213","","The Black Parade / Living With Ghosts My Chemical Romance","3,719,172,978","2,546,255"
"","214","","A Night At The Opera Queen","3,689,576,162","1,302,714"
"","215","","Indigo Chris Brown","3,686,270,607","1,922,452"
"","216","","Encore DJ Snake","3,684,592,619","1,190,663"
"","217","","Jordi Maroon 5","3,653,165,294","2,261,093"
"","218","","Eternal Atake / Lil Uzi Vert VS. The World 2 Lil Uzi Vert","3,652,800,599","918,933"
"","219","","Ultraviolence Lana Del Rey","3,645,132,357","3,391,731"
"","220","","Perception NF","3,639,743,606","983,691"
"","221","","30 Adele","3,638,260,829","2,984,204"
"","222","","Please Excuse Me For Being Antisocial Roddy Ricch","3,631,937,545","970,178"
"","223","","Kid Krow Conan Gray","3,622,177,294","1,826,035"
"","224","","Meduza Meduza","3,621,971,132","1,456,056"
"","225","","The Thrill Of It All Sam Smith","3,619,056,235","1,073,982"
"","226","","Cuz I Love You Lizzo","3,611,831,996","603,685"
"","227","","Mantra Sebastian Yatra","3,609,840,199","1,180,887"
"","228","","1000 Forms Of Fear Sia","3,609,746,548","1,527,843"
"","229","","Narrated For You Alec Benjamin","3,595,380,107","1,523,031"
"","230","","Listen David Guetta","3,593,299,822","792,310"
"","231","","What You See Is What You Get / What You See Ain't Always What You Get Luke Combs","3,564,662,917","1,850,121"
"","232","","Nu King Jason Derulo","3,554,886,136","1,033,018"
"","233","","Stick Season Noah Kahan","3,546,084,516","7,391,718"
"","234","","Plastic Hearts Miley Cyrus","3,542,719,447","1,246,591"
"","235","","Culture II Migos","3,529,290,455","655,827"
"","236","","The Album Blackpink","3,525,184,785","1,212,811"
"","237","","My Turn Lil Baby","3,515,090,957","1,571,973"
"","238","","Red Taylor Swift","3,514,045,681","1,001,548"
"","239","","Icarus Falls Zayn","3,500,994,049","1,087,910"
"","240","","Take Me Home One Direction","3,494,257,380","985,042"
"","241","","Norman Fucking Rockwell! Lana Del Rey","3,480,144,458","2,425,199"
"","242","","Jose J Balvin","3,480,102,757","942,903"
"","243","","Slippery When Wet Bon Jovi","3,467,161,545","2,120,601"
"","244","","Saturday Night Fever Bee Gees & Various Artists","3,461,936,302","2,179,528"
"","245","","I Felix Jaehn","3,458,819,135","1,267,276"
"","246","","Voicenotes Charlie Puth","3,458,759,490","1,977,912"
